RACEYEAR,GRANDPRIX,DRIVER,AVG_LAPTIME,LAPTIME_STDDEV
2023,Monaco,VER,86.87776916996049,7.351582281691734
2023,Monaco,GAS,86.96265843465045,8.714697893484965
2023,Monaco,PER,96.45289851960905,7.371205171101181
2023,Monaco,ALO,100.06969162640901,5.817539729089703
2023,Monaco,LEC,86.44848451910407,8.588611768507569
2023,Monaco,STR,87.25456862745098,3.7433395580897675
2023,Monaco,SAR,86.78044001436781,8.055857480651515
2023,Monaco,MAG,93.19492012987013,10.421799780172064
2023,Monaco,DEV,88.63338522012577,6.642574280752885
2023,Monaco,HUL,100.94989311875693,6.495910336400193
2023,Monaco,NOR,91.23666985507246,10.359635593010037
2023,Monaco,SAI,85.33371980676328,7.819740966232662
2023,Monaco,BOT,87.5941621417798,5.411030474071385
2023,Monaco,ZHO,98.34686431372548,5.881638937111067
2023,Monaco,RUS,87.56936574074075,6.661857010995293
2023,Monaco,TSU,89.89151558654635,8.387290715891934
2023,Monaco,PIA,87.88762600644122,7.504227445050157
2023,Monaco,ALB,86.15552501089324,6.441507757305964
2023,Monaco,OCO,84.6849696969697,6.2899811134308905
2023,Monaco,HAM,84.67447056646408,6.370208869949049
