RACEYEAR,GRANDPRIX,COMPOUND,STINT,STINT_LENGTH,AVG_LAPTIME,LAP_TIME_RANGE
2023,Monaco,MEDIUM,1,31.4,87.9613069792754,23.5569
2023,Monaco,INTERMEDIATE,2,20.714286,95.84893084089823,24.046714285714284
2023,Monaco,HARD,1,49.222222,79.71957325540671,31.90822222222222
2023,Monaco,MEDIUM,2,10.25,95.2181948051948,40.41775
2023,Monaco,INTERMEDIATE,3,21.9,96.39606311594204,20.3271
2023,Monaco,HARD,2,27.875,83.35115442867243,38.70049999999999
2023,Monaco,MEDIUM,3,19.0,81.28352631578947,39.191
2023,Monaco,INTERMEDIATE,4,14.0,103.45852083333332,28.259500000000003
2023,Monaco,INTERMEDIATE,6,6.0,90.53766666666667,11.040000000000006
2023,Monaco,WET,2,14.0,104.55378571428571,48.86999999999999
2023,Monaco,WET,5,13.0,100.39907692307692,22.358000000000004
2023,Monaco,WET,4,17.0,96.2894705882353,12.521999999999991
2023,Monaco,SOFT,3,29.0,80.74455172413793,40.616
2023,Monaco,SOFT,1,1.0,118.785,0.0
